No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
103,AI Interface,Streaming Response,All,AI responses should stream token by token,Show text as it generates with typing indicator,Wait for complete response then show,"const StreamingMessage = () => { const [text setText] = useState(''); const [isStreaming setIsStreaming] = useState(true);
  useEffect(() => { const stream = await fetch('/api/ai' { method: 'POST' }).body.getReader();
    while (true) { const { done value } = await stream.read(); if (done) break; setText(prev => prev + new TextDecoder().decode(value)); }
    setIsStreaming(false); } []);
  return (<div className=""prose""><p>{text}{isStreaming && <span className=""inline-block w-2 h-4 bg-gray-400 animate-pulse ml-1"" aria-label=""AI is typing"" />}</p></div>);};
// Shows text progressively as AI generates it","// Bad: 10+ second spinner then wall of text appears at once
<>{isLoading ? <Spinner /> : <p>{fullResponse}</p>}</>",High
104,AI Interface,Confidence Display,All,Show AI confidence levels when relevant,Visual confidence indicator for uncertain outputs,Hide uncertainty from users,Confidence bar or percentage,No indication of AI certainty,Medium
105,AI Interface,Error Recovery,All,AI errors should offer clear recovery paths,Retry button + alternative suggestions,Generic error message only,"const AIErrorState = ({ error onRetry onSimplify }) => (<div className=""p-4 bg-red-50 border border-red-200 rounded-lg"" role=""alert""><div className=""flex items-start gap-3""><AlertCircle className=""h-5 w-5 text-red-600 flex-shrink-0"" /><div className=""flex-1""><p className=""font-medium text-red-800"">Unable to generate response</p><p className=""text-sm text-red-700 mt-1"">{error.message || 'The AI service encountered an issue.'}</p><div className=""flex flex-wrap gap-2 mt-3""><button onClick={onRetry} className=""px-3 py-1.5 bg-red-600 text-white text-sm rounded-lg hover:bg-red-700 flex items-center gap-1""><RefreshCw className=""h-4 w-4"" />Try again</button><button onClick={onSimplify} className=""px-3 py-1.5 border border-red-300 text-red-700 text-sm rounded-lg hover:bg-red-100"">Simplify request</button></div></div></div></div>);","<p className=""text-red-600"">Error: Something went wrong</p> // No recovery options",High
106,WCAG 2.2,Target Size,All,Interactive elements need minimum 24x24px target,Minimum 24x24px (WCAG 2.5.8 AA),Smaller touch/click targets,"// WCAG 2.5.8 requires 24x24px minimum (AA) 44x44px for AAA
const IconButton = ({ icon: Icon label onClick }) => (<button onClick={onClick} aria-label={label} className=""min-w-[24px] min-h-[24px] p-1.5 rounded hover:bg-gray-100 focus:ring-2 focus:ring-blue-500 focus:outline-none inline-flex items-center justify-center""><Icon className=""h-4 w-4"" aria-hidden=""true"" /></button>);
// For mobile: use min-w-[44px] min-h-[44px] for better touch targets","<button className=""p-0.5""><X className=""h-3 w-3"" /></button> // 16px target too small",High
107,WCAG 2.2,Dragging Alternatives,All,Dragging operations need single-pointer alternative,Provide buttons or menus for drag actions,Drag-only interactions,"const ReorderItem = ({ item index onMove canMoveUp canMoveDown }) => (<li className=""flex items-center gap-2 p-3 bg-white border rounded-lg""><button aria-label=""Drag to reorder"" className=""cursor-grab p-1 hover:bg-gray-100 rounded""><GripVertical className=""h-5 w-5 text-gray-400"" /></button><span className=""flex-1"">{item.name}</span><div className=""flex flex-col""><button onClick={() => onMove(index -1)} disabled={!canMoveUp} aria-label=""Move up"" className=""p-1 hover:bg-gray-100 rounded disabled:opacity-30""><ChevronUp className=""h-4 w-4"" /></button><button onClick={() => onMove(index 1)} disabled={!canMoveDown} aria-label=""Move down"" className=""p-1 hover:bg-gray-100 rounded disabled:opacity-30""><ChevronDown className=""h-4 w-4"" /></button></div></li>);","// Drag-only: <div draggable onDrag={...}>{item}</div> // No keyboard alternative",High
108,Mobile UX,Gesture Patterns,Mobile,Use platform-native gesture patterns,Swipe to delete pull to refresh pinch to zoom,Custom unfamiliar gestures,iOS-style swipe actions,Custom swipe patterns,Medium
109,Mobile UX,Thumb Zone,Mobile,Place primary actions in thumb-friendly zones,Primary CTA bottom center or bottom right,Important actions at top of screen,"// Bottom navigation for primary actions - thumb-friendly zone
const MobileNav = () => (<nav className=""fixed bottom-0 inset-x-0 bg-white border-t safe-area-pb""><div className=""flex justify-around items-center h-16""><NavItem icon={Home} label=""Home"" href=""/"" /><NavItem icon={Search} label=""Search"" href=""/search"" /><NavItem icon={Plus} label=""Create"" href=""/new"" primary /><NavItem icon={Bell} label=""Alerts"" href=""/alerts"" /><NavItem icon={User} label=""Profile"" href=""/profile"" /></div></nav>);
// FAB for primary action: <button className=""fixed bottom-20 right-4 w-14 h-14 rounded-full bg-blue-600 shadow-lg"">+</button>","<header><button className=""absolute top-4 right-4"">+ Create</button></header> // Hard to reach with thumb",High
110,Voice UI,Multimodal Design,All,Voice interfaces should have visual fallbacks,Voice + screen + touch options,Voice-only with no visual,"const VoiceSearch = () => (<div className=""relative""><input type=""search"" placeholder=""Search or say a command..."" className=""w-full pl-10 pr-12 py-3 border rounded-lg"" aria-label=""Search"" /><Search className=""absolute left-3 top-1/2 -translate-y-1/2 h-5 w-5 text-gray-400"" /><button onClick={startVoice} aria-label={isListening ? 'Stop listening' : 'Start voice search'} className=""absolute right-2 top-1/2 -translate-y-1/2 p-2 rounded-full hover:bg-gray-100"">{isListening ? <MicOff className=""h-5 w-5 text-red-500 animate-pulse"" /> : <Mic className=""h-5 w-5 text-gray-600"" />}</button>{transcript && <p className=""mt-2 text-sm text-gray-600"" aria-live=""polite"">Heard: ""{transcript}""</p>}</div>);","// Voice-only: 'Say a command to continue' with no visual input option",High
111,Progressive Disclosure,AI Complexity,All,Hide AI complexity behind progressive disclosure,Simple default with advanced options expandable,All AI options visible at once,Advanced settings collapsed,20 AI parameters visible,Medium
112,Conversational UI,Thread Design,All,Chat threads need clear message attribution,Distinct visual separation between user and AI,Ambiguous message ownership,"const ChatMessage = ({ message isUser }) => (<div className={`flex gap-3 ${isUser ? 'flex-row-reverse' : ''}`}><div className=""flex-shrink-0""><div className={`w-8 h-8 rounded-full flex items-center justify-center ${isUser ? 'bg-blue-600' : 'bg-gray-200'}`}>{isUser ? <User className=""h-4 w-4 text-white"" /> : <Bot className=""h-4 w-4 text-gray-600"" />}</div></div><div className={`max-w-[80%] p-3 rounded-2xl ${isUser ? 'bg-blue-600 text-white rounded-br-md' : 'bg-gray-100 text-gray-900 rounded-bl-md'}`} aria-label={isUser ? 'You said' : 'Assistant said'}><p>{message.content}</p><time className={`text-xs mt-1 block ${isUser ? 'text-blue-200' : 'text-gray-500'}`}>{message.time}</time></div></div>);","// All messages same gray bubble - unclear who said what",High
113,Collaboration,Real-time Presence,Web,Show collaborator presence and activity,Cursor positions avatars typing indicators,No indication of other users,Live cursors with names,No presence indication,Medium
114,AI Systems,Graceful Degradation,All,AI features should degrade gracefully when unavailable,Fallback to non-AI alternative,Feature completely unavailable,"const SmartInput = ({ onSubmit }) => { const { data: suggestions error isLoading } = useAISuggestions(); return (<div className=""space-y-2""><div className=""relative""><input type=""text"" className=""w-full px-3 py-2 border rounded-lg pr-10"" placeholder=""Type or get AI suggestions..."" />{!error && <button onClick={getAISuggestion} disabled={isLoading} className=""absolute right-2 top-1/2 -translate-y-1/2 p-1 hover:bg-gray-100 rounded"" aria-label=""Get AI suggestion""><Sparkles className={`h-4 w-4 ${isLoading ? 'animate-pulse text-gray-400' : 'text-blue-600'}`} /></button>}</div>{error && <p className=""text-sm text-gray-500"">AI suggestions unavailable. Please type manually.</p>}{!error && suggestions && <SuggestionsList items={suggestions} />}</div>);};","// AI unavailable: <div className=""text-red-600"">Error: AI service is down</div> // Feature completely broken",High
115,Onboarding,AI Expectation Setting,All,Set realistic expectations for AI capabilities,Clear explanation of what AI can and cannot do,Overpromise AI capabilities,"const AIDisclaimer = () => (<div className=""p-4 bg-blue-50 border border-blue-200 rounded-lg""><div className=""flex items-start gap-3""><Info className=""h-5 w-5 text-blue-600 flex-shrink-0 mt-0.5"" /><div><h3 className=""font-medium text-blue-900"">About AI Assistant</h3><div className=""mt-2 text-sm text-blue-800 space-y-2""><p><strong>Can help with:</strong> Drafting content summarizing text answering questions brainstorming ideas</p><p><strong>Limitations:</strong> May produce inaccurate information. Cannot access real-time data or browse the web. Not suitable for medical legal or financial advice.</p><p className=""text-blue-600"">Always verify important information independently.</p></div></div></div></div>);","<p>AI can do anything you need!</p> // Overpromising leads to disappointment",High
116,Animation,View Transitions API,Web,Use View Transitions for smooth page-to-page navigation,Enable with startViewTransition() or CSS @view-transition,Instant jumps between pages without transition,"document.startViewTransition(() => { updateDOM(); }); // Or in CSS: @view-transition { navigation: auto; }","updateDOM(); // Direct DOM update without transition causes jarring page change",High
117,Animation,View Transition Names,Web,Named elements persist across page transitions with visual continuity,Add view-transition-name to shared elements like hero images,"Forget to name elements that should persist across views","<img src={hero} style={{ viewTransitionName: 'hero-image' }} alt=""Hero"" /> // Element morphs between pages","<img src={hero} alt=""Hero"" /> // No view-transition-name means no cross-page animation",Medium
118,Navigation,Cross-Document View Transitions,Web,Same-origin navigation transitions in Next.js/SPAs for seamless UX,Use Link with viewTransition prop in Next.js 15+,Ignore browser support - use progressive enhancement,"<Link viewTransition href=""/about"">About</Link> // Enables smooth cross-document transitions","<Link href=""/about"">About</Link> // No viewTransition prop means instant page swap",Medium
119,Animation,View Transition Fallback,Web,Handle browsers without View Transitions API support gracefully,Check document.startViewTransition support before using,Assume all browsers support View Transitions API,"if (document.startViewTransition) { document.startViewTransition(() => updateDOM()); } else { updateDOM(); } // Progressive enhancement","document.startViewTransition(() => updateDOM()); // Crashes in unsupported browsers",High
120,Animation,CSS Scroll-Driven Animations Basics,Web,Use animation-timeline: scroll() for scroll-linked animations,CSS animation-timeline: scroll(),JavaScript scroll event listeners,"animation-timeline: scroll(); animation-range: entry cover;","window.addEventListener('scroll', updateAnimation)",High
121,Animation,View Timeline for Element Visibility,Web,Use animation-timeline: view() for viewport-based animations,view() timeline for reveal animations,IntersectionObserver for simple reveals,"animation-timeline: view(); animation-range: entry 0% cover 40%;","useIntersectionObserver hook",Medium
122,Animation,Scroll-Driven Parallax Effects,Web,Create parallax without JavaScript using scroll(),CSS-only parallax with scroll timeline,requestAnimationFrame parallax,"@keyframes parallax { to { transform: translateY(-50%); } } .parallax { animation: parallax linear; animation-timeline: scroll(); }","onScroll={() => setTranslateY(scrollY * 0.5)}",Medium
123,Animation,Performance of Scroll Animations,Web,Prefer CSS scroll animations for better performance,CSS handles animation compositing,JS mutations every frame,".scroll-anim { animation: reveal linear; animation-timeline: scroll(); } /* Browser optimizes compositing */","requestAnimationFrame(() => element.style.transform = ...) // JS mutations every frame",High
124,Navigation,Navbar Scroll Threshold,Web,Navbar state should change at appropriate scroll distance,Use 50-100px scroll threshold for state change. Provides buffer before activating compact state,Change state immediately at scrollY > 0 (jarring) or too late > 150px (user misses transition),"window.addEventListener('scroll', () => { if (window.scrollY > 50) navbar.classList.add('scrolled'); else navbar.classList.remove('scrolled'); });","if (window.scrollY > 0) addClass('scrolled'); // Too sensitive triggers on any tiny scroll",Medium
125,Animation,Navbar Transition Timing,Web,Navbar transitions should feel smooth and professional,Use 0.3-0.4s duration with cubic-bezier easing for natural feel,Use linear easing or very fast transitions (<0.2s) which feel mechanical or jarring,".navbar { transition: all 0.4s cubic-bezier(0.4, 0, 0.2, 1); } .navbar-logo { transition: transform 0.3s ease; }",".navbar { transition: all 0.1s linear; } // Too fast and robotic",Medium
126,Navigation,Mobile Menu Animation Patterns,Mobile,Mobile menu should animate smoothly when opening and closing,Use max-height + opacity or transform for smooth open/close animations with proper easing,Use display:none toggle which provides no animation and feels abrupt,".mobile-nav { max-height: 0; opacity: 0; overflow: hidden; transition: max-height 0.35s ease, opacity 0.3s ease; } .mobile-nav.active { max-height: 400px; opacity: 1; }",".mobile-nav { display: none; } .mobile-nav.active { display: block; } // No animation just instant toggle",Medium
127,Performance,Image Loading Effects,Web,Use blur-up placeholder technique for smooth image loading experience,Use low-res blurred placeholder that transitions to full resolution image. Prevents layout shift and provides visual feedback,Show empty space or cause layout shift during image load. Avoid no visual feedback while loading,".img-lazy { filter: blur(10px); transition: filter 0.3s ease; } .img-lazy.loaded { filter: blur(0); } /* Or use placeholder: */ .img-container { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; }","img { opacity: 0; } img.loaded { opacity: 1; } /* No visual feedback during load */",Medium
128,Performance,Content Loading Placeholder,Web,Use skeleton with shimmer animation for loading states to improve perceived performance,Use skeleton screens with shimmer animation that matches content layout. Provides visual feedback and reduces perceived wait time,Show spinner or empty area while loading. Avoid blocking UI with no indication of what will load,".skeleton { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; border-radius: 4px; } @keyframes shimmer { 0% { background-position: -200% 0; } 100% { background-position: 200% 0; } } .skeleton-text { height: 1em; margin: 0.5em 0; } .skeleton-avatar { width: 48px; height: 48px; border-radius: 50%; }",".loading { content: 'Loading...'; } /* Or just empty div with no visual feedback */",Medium
129,Navigation,Header Height Transition,Web,Navbar should shrink height on scroll to maximize content viewport while maintaining accessibility,Shrink from 80px to 56px with smooth transition (0.3s ease-out). Use explicit height values not just padding changes. Transition should feel natural and not jarring,Keep navbar same height on scroll which wastes screen space. Shrink too fast (<0.2s) which feels mechanical. Use only padding changes without explicit height,".navbar { position: fixed; height: 80px; transition: height 0.3s ease-out padding 0.3s ease-out; } .navbar.scrolled { height: 56px; padding: 0.75rem 2rem; } /* CSS Scroll-Driven (2026): */ @supports (animation-timeline: scroll()) { .navbar { animation: shrink linear both; animation-timeline: scroll(root); animation-range: 0px 100px; } @keyframes shrink { from { height: 80px; } to { height: 56px; } } }",".navbar { height: 80px; } /* No scroll state - wastes 24px viewport space on long pages */",Medium
130,Navigation,Auto-Hide Navigation Direction,Web Mobile,Hide navbar on scroll down and show on scroll up for maximum content visibility on mobile and content-heavy pages,Track scroll direction using prevScrollY comparison. Hide with transform translateY(-100%) for GPU-accelerated animation. Add 80px threshold before hiding to prevent jitter. Use requestAnimationFrame for performance,Use display:none which provides no animation. Hide immediately on any scroll amount causing jittery UX. Use raw scroll events without requestAnimationFrame throttling,".navbar { transform: translateY(0); transition: transform 0.3s ease; } .navbar.hidden { transform: translateY(-100%); } /* JS: let prevScrollY = window.scrollY; let ticking = false; window.addEventListener('scroll' () => { if (!ticking) { requestAnimationFrame(() => { const currScrollY = window.scrollY; if (currScrollY > prevScrollY && currScrollY > 80) { navbar.classList.add('hidden'); } else if (currScrollY < prevScrollY) { navbar.classList.remove('hidden'); } prevScrollY = currScrollY; ticking = false; }); ticking = true; } }); */",".navbar { display: block; } .navbar.hidden { display: none; } /* No animation causes jarring UX. Also: hiding on any scroll without threshold */",Medium
131,Mobile-Touch,WCAG Touch Target Minimum,Cross-platform,WCAG 2.5.8 requires minimum 24x24 CSS pixels for touch targets to ensure accessibility compliance,Use minimum 24x24px touch targets as absolute floor. Prefer 44x44px (iOS) or 48x48dp (Android) for comfortable tapping,Use touch targets smaller than 24x24px which fail WCAG 2.5.8 and cause accessibility issues,"<button className=""min-h-[24px] min-w-[24px] p-2"">OK</button> /* WCAG minimum */ <button className=""min-h-[44px] min-w-[44px]"">Better</button> /* Recommended */","<button className=""h-4 w-4""><Icon /></button> /* 16px fails WCAG 2.5.8 */",Critical
132,Mobile-Touch,iOS Touch Target Size,iOS,Apple HIG recommends 44x44 points minimum for comfortable touch targets on iOS devices,Use 44x44pt minimum for all tappable elements. Add padding to icons to meet minimum size,Use touch targets smaller than 44pt which cause mis-taps and frustration,"<TouchableOpacity style={{ minWidth: 44, minHeight: 44, padding: 12 }}><Icon size={20} /></TouchableOpacity>","<TouchableOpacity><Icon size={20} /></TouchableOpacity> /* Icon alone is too small */",High
133,Mobile-Touch,Android Touch Target Size,Android,Material Design 3 requires 48x48dp minimum touch targets with 8dp spacing between adjacent targets,Use 48x48dp minimum for all interactive elements. Ensure 8dp minimum gap between touch targets,Use touch targets smaller than 48dp or pack targets too closely together,"<Button android:minWidth=""48dp"" android:minHeight=""48dp"" android:layout_margin=""4dp"" />","<ImageButton android:layout_width=""32dp"" android:layout_height=""32dp"" /> /* Too small */",High
134,Mobile-Touch,Touch Target Spacing,Cross-platform,Adjacent touch targets need adequate spacing to prevent accidental taps on wrong elements,Maintain minimum 8dp/8pt gap between interactive elements. Use larger gaps (12-16dp) for destructive actions,Pack touch targets edge-to-edge with no spacing causing accidental activations,"<div className=""flex gap-3""><Button>Cancel</Button><Button>Confirm</Button></div>","<div className=""flex gap-0""><Button>Delete</Button><Button>Save</Button></div> /* Dangerous mis-tap risk */",High
135,Mobile-Touch,Touch Feedback Delay,Cross-platform,Immediate visual feedback on touch improves perceived responsiveness and confirms interaction,Show visual change within 100ms of touch. Use active/pressed states with scale or color change,Delay feedback more than 100ms or provide no visual confirmation of touch,"<button className=""active:scale-95 active:bg-blue-700 transition-transform duration-75"">Tap me</button>","<button className=""transition-all duration-500"">Slow feedback</button> /* 500ms too slow */",High
136,Mobile-Animation,iOS Animation Timing,iOS,iOS uses specific animation durations: fast (200-240ms) for simple transitions and moderate (340-360ms) for complex ones,Use 200-240ms for button presses and toggles. Use 340-360ms for modal presentations and page transitions,Use generic 300ms for everything or very slow animations that feel sluggish on iOS,"UIView.animate(withDuration: 0.24, delay: 0, options: .curveEaseOut) { /* fast transition */ }","UIView.animate(withDuration: 1.0) { /* Too slow for iOS feel */ }",Medium
137,Mobile-Animation,iOS Spring Animations,iOS,iOS favors spring-based animations for natural organic motion that feels responsive and alive,Use spring animations with damping 0.7-0.8 for bouncy feel. Apply to modals sheets and interactive elements,Use linear or ease-in-out timing functions which feel mechanical compared to springs,"UIView.animate(withDuration: 0.5, delay: 0, usingSpringWithDamping: 0.75, initialSpringVelocity: 0) { }","UIView.animate(withDuration: 0.3, animations: { }, options: .curveLinear) /* Feels robotic */",Medium
138,Mobile-Animation,Android Material Motion,Android,Material 3 uses physics-based MotionScheme with standard 300ms duration for shared element transitions,Use Material MotionScheme for consistent physics-based animations. Target 300ms for shared element transitions,Use custom timing that conflicts with Material motion system or feels inconsistent,"MaterialContainerTransform().apply { duration = 300; scrimColor = Color.TRANSPARENT }","ObjectAnimator.ofFloat(view, ""alpha"", 0f, 1f).setDuration(1000) /* Too slow */",Medium
139,Mobile-Animation,120Hz Display Optimization,Cross-platform,Modern 120Hz displays require smooth 120fps animations using GPU-optimized properties only,Animate only transform and opacity for 120fps capability. Keep animations under 500ms for responsiveness,Animate layout properties (width height margin) which cannot achieve 120fps on high refresh displays,"transform: translateX(100px); opacity: 0; transition: transform 0.3s, opacity 0.3s;","width: 100px; margin-left: 20px; transition: width 0.3s, margin 0.3s; /* Causes jank on 120Hz */",High
140,Mobile-Animation,Gesture-Driven Animation,Cross-platform,Animations should follow finger movement 1:1 during gestures for direct manipulation feel,Use gesture velocity to drive animation. Match animation position to finger position during drag,Animate independently of gesture creating disconnect between touch and visual response,"const translateX = useSharedValue(0); const gesture = Gesture.Pan().onUpdate(e => { translateX.value = e.translationX; });","onPanEnd: () => { Animated.timing(translateX, { toValue: 100, duration: 300 }) } /* Ignores gesture */",High
141,Mobile-Reachability,Thumb Zone Primary Actions,Cross-platform,Primary actions should be placed in the easy thumb zone (bottom 40% of screen) for one-handed use,Place CTAs and frequent actions in bottom 40% of screen. Use bottom sheets and FABs for key actions,Place primary actions in top corners requiring thumb stretch or two-handed operation,"<View style={{ position: 'absolute', bottom: 24, left: 24, right: 24 }}><Button>Primary CTA</Button></View>","<View style={{ position: 'absolute', top: 16, right: 16 }}><Button>Save</Button></View> /* Hard to reach */",High
142,Mobile-Reachability,Bottom Navigation Preference,Cross-platform,Bottom navigation outperforms hamburger menus for discoverability and one-handed reachability,Use bottom tab bar for 3-5 primary destinations. Reserve hamburger for secondary navigation,Hide primary navigation in hamburger menu at top requiring extra tap and thumb stretch,"<BottomNavigation><Tab icon=""home"" /><Tab icon=""search"" /><Tab icon=""profile"" /></BottomNavigation>","<TopBar><HamburgerMenu items={primaryNavItems} /></TopBar> /* Poor discoverability and reachability */",High
143,Mobile-Reachability,Stretch Zone Actions,Cross-platform,Middle screen area (stretch zone) is acceptable for secondary actions but avoid for frequent interactions,Place secondary actions and content browsing in middle area. Keep frequently-used controls at bottom,Place toggle switches sliders or frequent controls in middle zone requiring constant reaching,"<View style={{ flex: 1, justifyContent: 'center' }}><Text>Content here</Text></View>","<View style={{ flex: 1, alignItems: 'center', justifyContent: 'center' }}><Switch /> /* Frequent toggle in stretch zone */</View>",Medium
144,Mobile-Reachability,Hard Zone Avoidance,Cross-platform,Top corners are hardest to reach one-handed. Avoid placing critical or frequent actions there,Reserve top corners for infrequent actions like settings or overflow menus. Never place destructive actions there,Place primary CTAs close buttons or frequent actions in top corners causing thumb strain,"<Header><BackButton style={{ left: 0 }} /><OverflowMenu style={{ right: 0 }} /></Header>","<Header><SaveButton style={{ right: 16 }} /></Header> /* Frequent action in hard zone */",Medium
145,Mobile-Reachability,Large Phone Accommodation,Cross-platform,Phones over 6 inches make top 60% nearly unreachable one-handed requiring reachability mode,Design for one-handed use on 6.5+ inch screens. Test with thumb reach simulation tools,Assume users can reach all screen areas or will always use two hands,"/* iPhone reachability mode consideration */ <SafeAreaView edges={['bottom']}><View style={{ marginTop: 'auto' }}><ActionSheet /></View></SafeAreaView>","<View style={{ marginTop: 80 }}><PrimaryActions /></View> /* Forces two-handed use on large phones */",Medium
146,Mobile-Platform,iOS Visual Style,iOS,iOS design favors minimal shadows depth through blur and translucency and rounded corners,Use subtle shadows with blur. Apply SF Symbols. Use system blur effects for depth. Rounded corners 10-20pt,Use heavy drop shadows or flat design without depth cues which feels non-native on iOS,"<View style={{ backgroundColor: 'rgba(255,255,255,0.8)', backdropFilter: 'blur(20px)', borderRadius: 12 }}>","<View style={{ elevation: 8, shadowRadius: 8 }}> /* Android-style heavy shadow on iOS */",Medium
147,Mobile-Platform,iOS Date Picker Style,iOS,iOS uses scroll wheel pickers for date/time selection providing familiar haptic interaction pattern,Use UIDatePicker wheel style or equivalent. Provide haptic feedback on scroll stops,Use calendar grid picker which feels foreign to iOS users and lacks expected haptics,"<DatePicker mode=""date"" display=""spinner"" /> /* iOS native wheel style */","<CalendarPicker /> /* Android-style grid on iOS feels wrong */",Medium
148,Mobile-Platform,iOS Navigation Pattern,iOS,iOS uses edge swipe for back navigation and horizontal tab bars. Respect these system patterns,Implement interactivePopGestureRecognizer for back. Use TabBarController for main navigation,Disable edge swipe back or use Android-style drawer navigation which confuses iOS users,"navigationController?.interactivePopGestureRecognizer?.isEnabled = true","gestureRecognizer.isEnabled = false /* Breaks expected iOS back gesture */",High
149,Mobile-Platform,Android Elevation System,Android,Material Design uses elevation and shadows to communicate hierarchy. Higher elevation = more importance,Use elevation 1-6dp for cards 8dp for dialogs 16dp for drawers. Match Material elevation spec,Use flat design without elevation or iOS-style blur which feels non-native on Android,"<Card style={{ elevation: 2 }}> /* Surface */ <Modal style={{ elevation: 24 }}> /* Dialog */","<Card style={{ shadowOpacity: 0.1 }}> /* iOS shadow style on Android */",Medium
150,Mobile-Platform,Android Date Picker Style,Android,Material Design uses calendar grid for date picking with clear month navigation and range selection,Use MaterialDatePicker with calendar grid view. Support date range selection where appropriate,Use iOS-style scroll wheels for dates which feels foreign and lacks Material interaction patterns,"MaterialDatePicker.Builder.datePicker().setTitleText(""Select date"").build()","<DatePicker mode=""spinner"" /> /* iOS wheel style on Android */",Medium
151,Mobile-Platform,Android Back Button,Android,Android has system back button/gesture that must be handled. Predictable back behavior is expected,Handle onBackPressed consistently. Use NavController for predictable back stack,Override or ignore system back creating navigation confusion or trapping users,"onBackPressedDispatcher.addCallback { navController.popBackStack() }","onBackPressed { /* do nothing */ } /* Traps user violates Android contract */",Critical
152,Mobile-Platform,Android Predictive Back,Android,Android 14+ supports predictive back gesture showing destination preview during back swipe,Enable predictive back animations. Ensure all activities handle back consistently for preview,Disable predictive back or have inconsistent back handling breaking the preview experience,"android:enableOnBackInvokedCallback=""true"" /* In manifest */","android:enableOnBackInvokedCallback=""false"" /* Disables modern back UX */",Medium
153,Mobile-Accessibility,Screen Reader Touch,Cross-platform,Screen reader users navigate by swiping and need logical focus order and clear labels,Implement proper accessibilityLabel for all interactive elements. Ensure logical tab/swipe order,Rely on visual-only cues or have illogical focus order that confuses VoiceOver/TalkBack users,"<TouchableOpacity accessibilityLabel=""Submit order"" accessibilityRole=""button"" accessibilityHint=""Double tap to confirm"">","<TouchableOpacity><Image source={submitIcon} /></TouchableOpacity> /* No label for screen reader */",Critical
154,Mobile-Accessibility,Dynamic Type Support,iOS,iOS Dynamic Type allows users to set preferred text size. Apps must respect this setting,Use system fonts with Dynamic Type. Test at all accessibility sizes. Support up to xxxLarge,Use fixed font sizes that ignore Dynamic Type settings making text unreadable for low vision users,"UIFontMetrics.default.scaledFont(for: UIFont.systemFont(ofSize: 17))","UIFont.systemFont(ofSize: 17) /* Ignores Dynamic Type */",High
155,Mobile-Accessibility,Android Font Scaling,Android,Android allows font scaling up to 200%. Apps must handle this gracefully without breaking layout,Use sp units for text. Test at max font scale. Allow text containers to grow,Use dp for text or fixed height containers that clip scaled text,"android:textSize=""16sp"" /* Scales with user preference */","android:textSize=""16dp"" /* Won't scale */ android:layout_height=""48dp"" /* May clip large text */",High
156,Mobile-Accessibility,Reduce Motion Setting,Cross-platform,Users with vestibular disorders enable Reduce Motion. Apps must check and respect this preference,Query prefers-reduced-motion or UIAccessibility.isReduceMotionEnabled. Provide instant alternatives,Ignore reduce motion preference causing discomfort or nausea for vestibular disorder users,"if UIAccessibility.isReduceMotionEnabled { /* Use crossfade instead of slide */ }","UIView.animate(withDuration: 0.5) { /* Always animates regardless of setting */ }",Critical
157,Mobile-Accessibility,Touch Accommodation,Cross-platform,Users with motor impairments may need longer touch duration or different gesture requirements,Support iOS Touch Accommodations and Android accessibility timeout. Test with Switch Control,Require precise quick taps or complex multi-finger gestures that exclude motor-impaired users,"<TouchableOpacity delayPressIn={150} delayLongPress={800}> /* Accommodates slower input */","<TouchableOpacity delayLongPress={200}> /* Too fast for motor impairment */",High
158,Mobile-SafeArea,iOS Safe Area Insets,iOS,iPhone notch and home indicator require safe area handling to avoid content being obscured,Use safeAreaInsets on all screens. Apply to both top (notch) and bottom (home indicator),Ignore safe areas causing content to render behind notch or under home indicator,"<SafeAreaView><Content /></SafeAreaView> /* Or */ padding-top: env(safe-area-inset-top);","<View style={{ flex: 1 }}><Content /></View> /* Content hidden behind notch */",Critical
159,Mobile-SafeArea,Android Display Cutout,Android,Android devices have various cutout shapes (notch punch-hole) requiring display cutout handling,Use WindowInsets API. Set android:windowLayoutInDisplayCutoutMode in theme,Ignore display cutouts causing content to render behind camera or sensor housing,"WindowCompat.setDecorFitsSystemWindows(window, false); ViewCompat.setOnApplyWindowInsetsListener(view) { }","/* No inset handling - content behind cutout */",High
160,Mobile-SafeArea,Bottom Safe Area CTA,Cross-platform,Bottom CTAs must account for home indicator/gesture bar to remain fully visible and tappable,Add safe area padding to bottom fixed elements. Ensure CTA is above gesture area,Place CTAs that overlap with gesture bar causing accidental home triggers or hidden buttons,"<View style={{ paddingBottom: insets.bottom + 16 }}><Button>Checkout</Button></View>","<View style={{ position: 'absolute', bottom: 0 }}><Button>Checkout</Button></View> /* Overlaps gesture bar */",High
161,Mobile-SafeArea,Landscape Safe Areas,Cross-platform,Landscape orientation has safe areas on sides for notch and may have keyboard avoidance needs,Handle left/right safe area insets in landscape. Test both landscape orientations,Only handle portrait safe areas causing landscape layout issues with notch on side,"<View style={{ paddingLeft: insets.left, paddingRight: insets.right }}> /* Landscape safe */","<View style={{ paddingTop: insets.top }}> /* Ignores landscape side insets */",Medium
