STT,Category,Icon Name,Keywords,Library,License,Import Code,Usage,Best For,Style,Animation_Class
165,Action,IconSettings,settings configuration preferences options,Tabler,MIT,import { IconSettings } from '@tabler/icons-react',<IconSettings size={24} stroke={1.5} />,Settings config preferences,Outline,hover:rotate-45 transition-transform
166,Action,IconLogout,logout signout exit leave session,Tabler,MIT,import { IconLogout } from '@tabler/icons-react',<IconLogout size={24} stroke={1.5} />,Sign out logout actions,Outline,hover:translate-x-1 transition-transform
167,Navigation,IconMenu2,menu hamburger navigation mobile toggle,Tabler,MIT,import { IconMenu2 } from '@tabler/icons-react',<IconMenu2 size={24} stroke={1.5} />,Menu hamburger mobile nav,Outline,hover:scale-110 transition-transform
168,Communication,IconBell,bell notification alert reminder,Tabler,MIT,import { IconBell } from '@tabler/icons-react',<IconBell size={24} stroke={1.5} />,Notifications alerts reminders,Outline,hover:animate-bounce transition-transform
169,Theme,IconSun,sun light mode day bright theme,Tabler,MIT,import { IconSun } from '@tabler/icons-react',<IconSun size={24} stroke={1.5} />,Light mode theme toggle,Outline,hover:rotate-90 hover:scale-110 transition-all
170,Theme,IconMoon,moon dark mode night theme toggle,Tabler,MIT,import { IconMoon } from '@tabler/icons-react',<IconMoon size={24} stroke={1.5} />,Dark mode theme toggle,Outline,hover:rotate-12 transition-transform
171,AI,IconBrandOpenai,openai ai chatgpt artificial intelligence ml,Tabler,MIT,import { IconBrandOpenai } from '@tabler/icons-react',<IconBrandOpenai size={24} stroke={1.5} />,AI OpenAI ChatGPT features,Outline,hover:scale-110 hover:animate-pulse transition-all
172,AI Voice,Waveform,voice waveform audio speech sound wave visualization,Lucide,MIT,import { AudioLines } from 'lucide-react',"<AudioLines className=""w-6 h-6"" />",Voice interfaces audio players speech recognition,Outline,animate-pulse hover:scale-110 transition-all
173,Spatial,Hand,hand gesture spatial interaction touch swipe pinch,Lucide,MIT,import { Hand } from 'lucide-react',"<Hand className=""w-6 h-6"" />",Gesture controls spatial UI touch instructions,Outline,hover:rotate-12 hover:scale-110 transition-transform
174,Accessibility,Accessibility,accessibility a11y inclusive screen reader WCAG,Lucide,MIT,import { Accessibility } from 'lucide-react',"<Accessibility className=""w-6 h-6"" />",Accessibility settings inclusive design compliance,Outline,hover:scale-110 transition-transform
175,Agentic,Workflow,workflow automation pipeline process agentic orchestration,Lucide,MIT,import { Workflow } from 'lucide-react',"<Workflow className=""w-6 h-6"" />",Workflow builders automation tools process visualization,Outline,hover:scale-105 transition-transform
